"id","title","cost","value","total","date","location","datadate","status"
"falcon-aviation-academy-atlanta","$74 for One-Hour Flying Lesson at Falcon Aviation Academy ($149 Value)","74","149","380","2011-02-10","30303","2011-02-10","0"
"helmet-loft","$25 for Women's Cut and Style at Helmet Loft (Up to $60 value)","25","60","600","2011-02-10","30303","2011-02-10","0"
"beaded-couture","$20 for a Beading 101 Class at Beaded Couture in Snellville ($40 Value)","20","40","100","2011-02-10","30303","2011-02-10","0"
"traditions-of-braselton","$55 for 18 Holes of Golf for Two Players, Cart Rental, and Access to Practice Facilities ($120 Value) at Traditions of Braselton in Jefferson","55","120","295","2011-02-10","30303","2011-02-10","0"
"maxi-shine-cleaning-services","$35 for a Two-Room Carpet Cleaning from Maxi Shine Cleaning Services ($70 Value)","35","70","25","2011-02-10","30303","2011-02-10","0"
"ftd-atlanta-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","980","2011-02-12","30303","2011-02-10","0"
"huck-finn","$22 for a Half-Day Whitewater-Rafting Trip Guided by Huck Finn Rafting Adventures","22","48","45","2011-02-12","30303","2011-02-10","0"
"tango-evolution","$30 for Six Beginner Tango Classes at Tango Evolution (Up to $60 Value)","30","60","28","2011-02-12","30303","2011-02-10","0"
"ftd-augusta-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","70","2011-02-12","30904-4425","2011-02-10","0"
"ashley-deyoung-photography-augusta","$59 for a One-Hour Photo Shoot and Prints from Ashley DeYoung Photography ($235 Value)","59","235","32","2011-02-10","30904-4425","2011-02-10","0"
"ecomaids-austin","Environmentally Friendly House-Cleaning Package from EcoMaids Austin. Choose Between Two Options.","49","110","142","2011-02-11","78701","2011-02-10","0"
"ftd-austin-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","928","2011-02-12","78701","2011-02-10","0"
"veracity-aviation-austin-2","$69 for an Airplane Discovery Flight Lesson ($149 Value)","69","149","377","2011-02-11","78701","2011-02-10","0"
"habana-austin","$10 for $20 Worth of Authentic Cuban Cuisine at Habana Restaurant","10","20","1883","2011-02-10","78701","2011-02-10","0"
"marble-slab-creamery-austin","$14 for a Large Ice-Cream Cake or 15 Chocolate-Covered Strawberries at Marble Slab Creamery ","14","30","634","2011-02-12","78701","2011-02-10","0"
"ftd-bakersfield-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","87","2011-02-12","93301","2011-02-10","0"
"mixbook-bakersfield-4","$15 for $50 Worth of Photo Books, Cards, and More from Mixbook","15","50","183","2011-02-10","93301","2011-02-10","0"
"fahey-photography","$89 for Two Family Portrait Sittings and Two 11â€x14â€ Craftsman Portraits at Fahey Photography ($550 Value)","89","550","58","2011-02-10","93301","2011-02-10","0"
"ftd-baltimore-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","1102","2011-02-12","21202","2011-02-10","0"
"bco-salon","$17 for a Menâ€™s Haircut ($35 Value) or $32 for a Womenâ€™s Haircut ($65 Value)","17","35","143","2011-02-10","21202","2011-02-10","0"
"mount-vernon-hotel-baltimore","$74 for One Night in a Deluxe Room and Hot Breakfast at The Mount Vernon Hotel","74","149","82","2011-02-12","21202","2011-02-10","0"
"green-healthy-cleaning","$78 for Three Hours of Home Cleaning from Green Healthy Cleaning Services ($155 Value)","78","155","234","2011-02-11","21202","2011-02-10","0"
"ambition-salon-1","$36 for Mani-Pedi and Eyebrow Wax at Ambition Salon in Pasadena ($72 Value)","36","72","256","2011-02-10","21202","2011-02-10","0"
"ambition-salon","$125 for Eyelash Extensions and Eyebrow Waxing at Ambition Salon in Pasadena","125","262","7","2011-02-10","21202","2011-02-10","0"
"ftd-barrie-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","74","2011-02-12","L4N","2011-02-10","0"
"bravo-fine-lingerie","$25 for $50 Worth of Lingerie, Loungewear, and Apparel at Bravo Fine Lingerie","25","50","68","2011-02-10","L4N","2011-02-10","0"
"ftd-baton-rouge-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","227","2011-02-12","70806-3258","2011-02-10","0"
"frockz-baton-rouge","$13 for $26 Worth of Lampshade Merchandise from Frockz","13","26","7","2011-02-11","70806-3258","2011-02-10","0"
"aesthetic-medicine-baton-rouge","$98 for Three Laser Hair-Removal Sessions on One Body Area (Up to $600 Value) or $129 for One VelaShape Body Contouring Treatment ($500 Value) at The Aesthetic Medicine & Anti-Aging Clinics of Louisiana","98","600","390","2011-02-10","70806-3258","2011-02-10","0"
"ftd-billings-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","37","2011-02-12","59101-2336","2011-02-10","0"
"your-star-forever-1","$29 for Star Dedication and a Commemorative Certificate from Your Star Forever ($79 Value) ","29","79","0","2011-02-10","59101-2336","2011-02-10","0"
"great-harvest-bread-co-billings","$5 for $10 Worth of Freshly Baked Bread, Baked Goods, Sandwiches, and Drinks at Great Harvest Bread Co.","5","10","450","2011-02-10","59101-2336","2011-02-10","0"
"ocoee-outdoors-birmingham","$35 for a Zip-line Tour at Ocoee Zipz in Ocoee, Tennessee ($79 Value)","35","79","102","2011-02-12","35203-3400","2011-02-10","0"
"ftd-birmingham-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","350","2011-02-12","35203-3400","2011-02-10","0"
"the-redmont-hotel-birmingham","One-Night Romantic Getaway Packages at The Redmont Hotel. Two Options Available.","119","239","123","2011-02-10","35203-3400","2011-02-10","0"
"birmingham-limousine","$45 for a One-Hour Ride in Any Sedan or Stretch Vehicle from Birmingham Limousine (Up to $175 Value).","45","175","236","2011-02-10","35203-3400","2011-02-10","0"
"ftd-boise-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","345","2011-02-12","83706-2122","2011-02-10","0"
"mixbook-boston-4","$15 for $50 Worth of Photo Books, Cards, and More from Mixbook","15","50","1759","2011-02-10","02108-2604","2011-02-10","0"
"coffee-break-cafe","$15 for $30 Gift Card Good Toward Coffee, Sweet Treats, and Breakfast Goodies at Coffee Break Cafe","15","30","713","2011-02-11","02108-2604","2011-02-10","0"
"keons-grille","$20 for $40 Worth of American Fare at Keon's Grille in Georgetown","20","40","586","2011-02-11","02108-2604","2011-02-10","0"
"pearle-vision-boston","$50 for $225 Toward Eyeglasses at Pearle Vision","50","225","1900","2011-02-11","02108-2604","2011-02-10","0"
"new-england-laser-lipo-boston","$200 for $400 Worth of Botox Treatments at New England Laser Lipo in Shrewsbury","200","400","20","2011-02-10","02108-2604","2011-02-10","0"
"ftd-boston-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","787","2011-02-12","02108-2604","2011-02-10","0"
"merengue","$15 for $30 Worth of Dominican Cuisine and Drinks at Merengue","15","30","775","2011-02-10","02108-2604","2011-02-10","0"
"rivers-by-the-sea-boston","$129 for a One-Night Stay and Restaurant Voucher at Atlantic House Hotel & Resort Residences in York Beach, Maine","129","245","274","2011-02-10","02108-2604","2011-02-10","0"
"ftd-buffalo-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","472","2011-02-12","14202","2011-02-10","0"
"eurospa-by-veronika","$100 for Lava Shell Massage Package or BioDynamic Facial Package at EuroSpa by Veronika (Up to $215 Value)","100","215","115","2011-02-11","14202","2011-02-10","0"
"ftd-calgary-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","867","2011-02-12","T2G","2011-02-10","0"
"ftd-cedar-rapids-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","249","2011-02-12","52404","2011-02-10","0"
"bella-joli","$25 for $50 Worth of Unique Jewelry and Gifts at Bella Joli","25","50","76","2011-02-10","52404","2011-02-10","0"
"the-depot-express","$7 for $15 Worth of Pizza at The Depot Express. Choose from Three Locations. ","7","15","266","2011-02-11","52404","2011-02-10","0"
"science-station-cedar-rapids","$6 for a Family Admission Pack to the Science Station's â€œSportsologyâ€ Exhibit","6","12","18","2011-02-12","52404","2011-02-10","0"
"cedar-rapids-roughriders-1","$20 for a Luxury Suite Ticket, Four Chuck-A-Pucks, and Program for Feb.11 Game Vs Des Moines","20","41","41","2011-02-11","52404","2011-02-10","0"
"ftd-central-jersey-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","484","2011-02-12","08629","2011-02-10","0"
"riverbanks-zoo-and-garden","$5 for a General-Admission Ticket","5","11","1952","2011-02-11","29401-2901","2011-02-10","0"
"ftd-charleston-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","332","2011-02-12","29401-2901","2011-02-10","0"
"powder-puffs-to-brushes","$45 for a Spa Mani-Pedi ($90 Value) or $15 for a Eyebrow Waxing and Shaping Treatment ($30 Total Value) at Powder Puffs to Brushes in Mt. Pleasant","45","90","327","2011-02-10","29401-2901","2011-02-10","0"
"dining-room-at-woodlands-1","$180 for One-Night Stay, Bottle of Champagne, and Breakfast at Woodlands Inn in Summerville (Up to $390 Value)","180","390","184","2011-02-10","29401-2901","2011-02-10","0"
"advanced-dentistry-of-charlotte-2","$89 for General or Cosmetic Treatment at Advanced Dentistry of Charlotte (Up to $687 Value). Three Options Available.","89","687","88","2011-02-12","28202-1404","2011-02-10","0"
"riverbanks-zoo-garden-charlotte","$5 for a General Admission Ticket","5","11","907","2011-02-12","28202-1404","2011-02-10","0"
"ftd-charlotte-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","793","2011-02-12","28202-1404","2011-02-10","0"
"the-blake-hotel-1","$79 for an Overnight Stay in a Deluxe Room, Bottle of Champagne, and Continental Breakfast for Two at the Blake Hotel","79","149","492","2011-02-11","28202-1404","2011-02-10","0"
"ftd-chattanooga-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","183","2011-02-12","37402-1813","2011-02-10","0"
"fusion-tanning-chattanooga","$15 for One Month of Unlimited Tanning ($39.95 Value) or $20 for Two Mystic Tan Sessions ($50 Value) at Fusion Tanning","15","40","293","2011-02-10","37402-1813","2011-02-10","0"
"music-therapy-network-of-tn","$20 for Four Baby Sign-Language Classes at Music Therapy Network of Tennessee","20","40","3","2011-02-14","37402-1813","2011-02-10","0"
"chicago-auto-show-115","$6 for One Ticket to the Chicago Auto Show (Up to $11 Value)","6","11","17086","2011-02-10","60604","2011-02-10","0"
"stockholm-objects-chicago","$50 for $100 Worth of Men's and Women's Apparel, Home Accents, and More at Stockholm Objects in Hinsdale","50","100","105","2011-02-11","60604","2011-02-10","0"
"heckys-barbecue","$10 for $20 Worth of Barbecue and Drinks at Hecky's Barbecue in Evanston","10","20","2485","2011-02-10","60604","2011-02-10","0"
"hollywood-blvd-cinema-chicago","$8 for Two Tickets to Hollywood Blvd. Cinema ($16 Value) and/or $15 for $30 Worth of Authentic Chinese Cuisine at Formosa Cafe in Woodridge","8","16","5250","2011-02-11","60604","2011-02-10","0"
"klees-golf-shop","$50 for a Custom Driver Fitting with Launch Monitor at Klees Golf Shop ($100 Value)","50","100","20","2011-02-11","60604","2011-02-10","0"
"faux-design-studio","$49 for a 90-Minute Canvas Art Class at Faux Design Studio in Addison ($100 Value)","49","100","67","2011-02-10","60604","2011-02-10","0"
"lazer-x-chicago","$14 for Four Games of Laser Tag at Lazer X in Addison (Up to $28 Value)","14","28","390","2011-02-10","60604","2011-02-10","0"
"sweets-of-lake-forest","$10 for $20 Worth of Artisanal Chocolates and Confections at Sweet's in Lake Forest","10","20","827","2011-02-10","60604","2011-02-10","0"
"womens-doc-medspa","$99 for One Zerona Body-Slimming Laser Treatment and Consultation at Women's Doc MedSpa in South Barrington ($400 Value)","99","400","178","2011-02-12","60604","2011-02-10","0"
"ftd-chicago-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","3167","2011-02-12","60604","2011-02-10","0"
"coco-key-water-resort-1","$50 for Four Day Passes at CoCo Key Water Resort in Rockford (Up to $100 Value)","50","100","59","2011-02-12","60604","2011-02-10","0"
"new-york-times-chicago","$36 for a Twelve-Week Subscription to the Sunday Edition of ""The New York Times"" (Up to $90 Value)","36","90","153","2011-02-10","60604","2011-02-10","0"
"canvas-on-demand-chicago-4","$45 for One 16""x20"" Gallery-Wrapped Canvas Including Shipping and Handling from Canvas on Demand ($126.95 Value)","45","127","1378","2011-02-10","60604","2011-02-10","0"
"summit-meats-catering","$10 for $20 Worth of Premium Meats and More at Summit Meats & Catering","10","20","402","2011-02-11","45207","2011-02-10","0"
"shoe-palace","$20 for $40 Worth of Shoes at Shoe Palace in Erlanger","20","40","69","2011-02-11","45207","2011-02-10","0"
"ftd-cincinnati-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","673","2011-02-12","45207","2011-02-10","0"
"designs-by-paolo-cincinnati","$59 for $150 Worth of Handbags and More at Designs By Paolo","59","150","10","2011-02-14","45207","2011-02-10","0"
"mattress-warehouse","$50 for $200 Toward a Mattress Set at Mattress Warehouse. Choose From 10 Locations. ","50","200","180","2011-02-11","45207","2011-02-10","0"
"kurtzman-plastic-surgery","$35 for a Micropeel with Dermaplaning ($75 Value) or a Customized Clinical Facial ($70 Value) at Kurtzman Plastic Surgery ","35","75","208","2011-02-10","45207","2011-02-10","0"
"university-of-cincinnati-athletics-1","$25 for a Ticket to Two Men's Basketball Home Games, Plus Four General Admission Vouchers to Remaining Women's Basketball Home Games from the University of Cincinnati Bearcats ","25","74","130","2011-02-10","45207","2011-02-10","0"
"michael-james-salon","$17 for Eyelash Extensions ($35 Value) or $7 for Eyebrow Threading ($15 Value) at Michael James Salon","7","15","204","2011-02-12","45207","2011-02-10","0"
"the-lakehouse-inn-and-winery-cleveland","$22 for Two Wine-Tasting Trays and One Cheese Plate Plus a Bottle of Wine at The Lakehouse Inn & Winery in Geneva-on-the-Lake ","22","44","420","2011-02-12","44113","2011-02-10","0"
"michael-cavotta-cleveland","$185 for a Digital Headshot ($375 Value) or $750 for an Heirloom Portrait ($1,500 Value) at Michael Cavotta Productions in Mentor","185","375","0","2011-02-10","44113","2011-02-10","0"
"ftd-cleveland-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","636","2011-02-12","44113","2011-02-10","0"
"j-and-c-glass-studio-1","$40 for a Four-Hour Glass-Blowing Party at J and C Glass Studio ($80 Value)","40","80","550","2011-02-10","44113","2011-02-10","0"
"ftd-colorado-springs-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","494","2011-02-12","80903","2011-02-10","0"
"salus-natural-body-care","$10 for $20 Worth of Natural and Organic Lotions, Soaps, and More from Salus Natural Body Care","10","20","140","2011-02-14","80903","2011-02-10","0"
"ftd-columbia-sc-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","613","2011-02-12","29201-3251","2011-02-10","0"
"get-your-gear-on","$30 for a Two-Hour Valentine's Canoeing Trip from Get Your Gear On ($60 Value)","30","60","8","2011-02-12","29201-3251","2011-02-10","0"
"guy-harvey-columbia","$12 for One-Year Subscription to â€œGuy Harvey Magazineâ€","12","25","11","2011-02-11","29201-3251","2011-02-10","0"
"ftd-columbia-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","122","2011-02-12","65201","2011-02-10","0"
"studio-b-dance-center","$25 for a Couples Ticket to Sweet Heart Slow Dance Social ($50 Value) or $30 for a Couples Ballroom Dance Introductory Package ($65 Value) at Studio B Dance Center","25","50","3","2011-02-12","65201","2011-02-10","0"
"retreat-salon-columbus","$150 for One Champagne and Rose Valentine's Spa Package at The Retreat Salon & Day Spa ($398.50 Value) in Dublin","150","398","249","2011-02-12","43215","2011-02-10","0"
"ftd-columbus-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","1059","2011-02-12","43215","2011-02-10","0"
"revolver-restaurant-columbus","$30 for $60 Worth of Seasonally Inspired Cuisine and Drinks at Revolver in Findlay","30","60","139","2011-02-10","43215","2011-02-10","0"
"ftd-columbus-ga-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","72","2011-02-12","31901-2811","2011-02-10","0"
"ftd-corpus-christi-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","79","2011-02-12","78401","2011-02-10","0"
"mixbook-corpus-christi-4","$15 for $50 Worth of Photo Books, Cards, and More from Mixbook","15","50","146","2011-02-10","78401","2011-02-10","0"
"anthonys-aveda-concept-salon","$10 for $20 Worth of Aveda Products at Anthony's Aveda Concept Salon & Day Spa","10","20","55","2011-02-10","78401","2011-02-10","0"
"take-air-dallas","$59 for a Three-Room Carpet Cleaning and One HVAC Air Duct Cleaning from TakeAir ($218 Value)","59","218","306","2011-02-11","75201","2011-02-10","0"
"kokila-indian-cuisine","$20 for $40 Worth of Indian Dinner Cuisine at Kokila Indian Cuisine in Lewisville","20","40","265","2011-02-10","75201","2011-02-10","0"
"bachrach-dallas","$25 for $50 Worth of Menswear at Bachrach","25","50","343","2011-02-11","75201","2011-02-10","0"
"ftd-dallas-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","996","2011-02-12","75201","2011-02-10","0"
"texas-motor-speedway-club","$33 for Admission to Private Daytona 500-Viewing Party and Two-Week Trial Membership to The Speedway Club at Texas Motor Speedway ($222 Value)","33","222","57","2011-02-13","75201","2011-02-10","0"
"iron-chefs","$10 for $20 Worth of Sushi and Hibachi at Iron Chefs in Mesquite","10","20","474","2011-02-10","75201","2011-02-10","0"
"vida-skin-spa","$45 for a Dermal Laser Peel ($95 Value) or $40 for a Blueberry-Wine Peel ($85 Value) at Vida Skin Spa in Plano","45","95","280","2011-02-10","75201","2011-02-10","0"
"splitsville-arlington","$17 for $35 Worth of Upscale American Fare and Bowling at Splitsville Luxury Lanes & Dinner Lounge. Two Locations Available. ","17","35","1438","2011-02-12","75201","2011-02-10","0"
"ftd-dayton-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","341","2011-02-12","45402-2009","2011-02-10","0"
"frosted-dayton","$15 for One Dozen Cake Pops ($30 Value) or $24 for Two Dozen Cake Pops ($48 Value)","15","30","52","2011-02-12","45402-2009","2011-02-10","0"
"ftd-daytona-beach-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","96","2011-02-12","32114-7156","2011-02-10","0"
"guy-harvery-magazine-daytona","$12 for One-Year Subscription to â€œGuy Harvey Magazineâ€","12","25","8","2011-02-11","32114-7156","2011-02-10","0"
"ftd-denver-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","1393","2011-02-12","80205-2127","2011-02-10","0"
"cafe-bisque-1","$15 for $30 Worth of French-Inspired Fare at Bisque","15","30","760","2011-02-10","80205-2127","2011-02-10","0"
"bling-dental-denver","$68 for an Icing Teeth Whitening from Bling Dental ($199 Value)","68","199","69","2011-02-11","80205-2127","2011-02-10","0"
"fit-body-boot-camp","$35 for 12 Sessions and Diet Plan at Fit Body Boot Camp in Loveland ($304 Value)","35","304","185","2011-02-10","80205-2127","2011-02-10","0"
"canvas-on-demand-denver-5","$45 for One 16""x20"" Gallery-Wrapped Canvas Including Shipping and Handling from Canvas on Demand ($126.95 Value)","45","127","906","2011-02-10","80205-2127","2011-02-10","0"
"renaissance-denver-hotel","$139 for One-Night Standard Stay, Champagne, Long-Stem Rose, and $25 Credit to Vivace! Ristorante at Renaissance Denver Hotel (Up to $229 Value)","139","229","17","2011-02-10","80205-2127","2011-02-10","0"
"beautiful-sweets-organic-bakery","$25 for $50 Worth of Cookies at Beautiful Sweets Organic Bakery","25","50","92","2011-02-10","80205-2127","2011-02-10","0"
"ftd-des-moines-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","479","2011-02-12","50316","2011-02-10","0"
"massage-heights-desmoines","Spa Services at Massage Heights. Choose from Three Options.","49","132","352","2011-02-15","50316","2011-02-10","0"
"fastlane-quick-oil-change","$19 for Semisynthetic Oil Change at FastLane Oil Change and Tire Center in Canton (Up to $40.99 Value)","19","41","190","2011-02-10","48226-2813","2011-02-10","0"
"marias-comida","$9 for $20 Worth of Mexican-Asian Fusion Cuisine at Maria's Comida in Hamtramck","9","20","626","2011-02-10","48226-2813","2011-02-10","0"
"ftd-detroit-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","787","2011-02-12","48226-2813","2011-02-10","0"
"ftd-edmonton-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","514","2011-02-12","T5J","2011-02-10","0"
"black-rock-oceanfront-resort-edmonton","$289 for a Two-Night Stay, Wine, and a $50 Dinner Voucher at Black Rock Oceanfront Resort in Ucluelet ($583 Value)","289","583","40","2011-02-11","T5J","2011-02-10","0"
"ftd-el-paso-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","112","2011-02-12","79901","2011-02-10","0"
"mixbook-el-paso-4","$15 for $50 Worth of Photo Books, Cards, and More from Mixbook","15","50","124","2011-02-10","79901","2011-02-10","0"
"ftd-erie-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","71","2011-02-12","16501-1108","2011-02-10","0"
"rosas-legacy","$10 for $20 Worth of Traditional Dominican Fare at Rosa's Legacy","10","20","281","2011-02-10","16501-1108","2011-02-10","0"
"ftd-eugene-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","181","2011-02-12",,"2011-02-10","0"
"your-star-forever-2","$29 for Star Dedication and a Commemorative Certificate from Your Star Forever ($79 Value) ","29","79","3","2011-02-10",,"2011-02-10","0"
"ftd-evansville-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","150","2011-02-12","47713-2457","2011-02-10","0"
"civic-theatre-evansville","$18 for Two Reserved Seats to ""Doubt"" at Evansville Civic Theatre. Choose From Three Dates.","18","36","62","2011-02-11","47713-2457","2011-02-10","0"
"tracy-zeller-jewelry","$50 for $100 Toward Jewelry at Tracy Zeller Jewelry","50","100","36","2011-02-10","47713-2457","2011-02-10","0"
"a-pinch-of-sugar","$10 for a Dozen Premium Cupcakes at A Pinch of Sugar ($30 Value)","10","30","51","2011-02-12","47713-2457","2011-02-10","0"
"ftd-fairfield-county-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","364","2011-02-12","06810-7944","2011-02-10","0"
"cuatro-hermanos-luncheria","$10 for $20 Worth of Latin-Fusion Fare at Cuatro Hermanos Luncheria","10","20","141","2011-02-10","06810-7944","2011-02-10","0"
"ftd-fayetteville-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","136","2011-02-12","28301-5652","2011-02-10","0"
"ftd-fort-lauderdale-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","742","2011-02-12","33301","2011-02-10","0"
"guy-harvey-magazine-fort-lauderdale","$12 for One-Year Subscription to â€œGuy Harvey Magazineâ€ ($24.95 Value)","12","25","47","2011-02-11","33301","2011-02-10","0"
"ftd-fort-myers-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","215","2011-02-12","33901","2011-02-10","0"
"guy-harvey-magazine-ft-myers","$12 for One-Year Subscription to â€œGuy Harvey Magazineâ€ ($24.95 Value)","12","25","16","2011-02-11","33901","2011-02-10","0"
